Name MC MP
Bitcoin 1,292,692,722,492 56.35%
Ethereum 420,948,612,270 18.35%
Tether 112,555,647,961 4.91%
BNB 87,468,166,912 3.81%
Solana 62,752,457,821 2.74%
USDC 32,584,442,953 1.42%
XRP 27,202,728,946 1.19%
Toncoin 17,960,983,457 0.78%
Dogecoin 17,669,662,684 0.77%
Cardano 13,503,879,902 0.59%
"Shiba Inu" 10,624,951,049 0.46%
Avalanche 10,462,572,779 0.46%
TRON 10,006,986,998 0.44%
Polkadot 8,380,256,781 0.37%
Chainlink 8,010,462,017 0.35%
"Bitcoin Cash" 7,780,384,040 0.34%
Uniswap 5,972,290,644 0.26%
Litecoin 5,478,057,792 0.24%
Polygon 5,418,248,888 0.24%
Dai 5,347,735,130 0.23%
"NEAR Protocol" 5,260,232,241 0.23%
"UNUS SED LEO" 5,255,037,035 0.23%
Pepe 4,443,081,566 0.19%
"Internet Computer" 3,818,221,379 0.17%
Kaspa 3,523,549,307 0.15%
"Ethereum Classic" 3,399,148,464 0.15%
Monero 3,165,323,229 0.14%
Aptos 3,131,952,673 0.14%
Render 2,811,062,109 0.12%
Hedera 2,752,267,635 0.12%
Mantle 2,693,134,520 0.12%
Stellar 2,664,683,536 0.12%
OKB 2,612,117,445 0.11%
Cosmos 2,568,199,046 0.11%
Cronos 2,506,395,714 0.11%
Filecoin 2,502,906,781 0.11%
"First Digital USD" 2,417,941,463 0.11%
Stacks 2,383,695,240 0.1%
Arbitrum 2,309,398,535 0.1%
Immutable 2,270,155,981 0.1%
dogwifhat 2,100,373,518 0.09%
Maker 2,048,757,357 0.09%
Sui 2,004,379,189 0.09%
Optimism 1,986,271,836 0.09%
"The Graph" 1,962,512,523 0.09%
Injective 1,959,544,657 0.09%
Bittensor 1,946,768,597 0.08%
VeChain 1,848,957,521 0.08%
"Lido DAO" 1,767,251,143 0.08%
JasmyCoin 1,674,144,475 0.07%
Arweave 1,650,444,027 0.07%
Notcoin 1,649,802,829 0.07%
FLOKI 1,615,282,002 0.07%
"Bitget Token" 1,561,829,623 0.07%
Ondo 1,540,222,468 0.07%
Fantom 1,454,353,509 0.06%
Bonk 1,437,674,128 0.06%
"Theta Network" 1,402,578,838 0.06%
THORChain 1,351,278,908 0.06%
"Brett (Based)" 1,332,694,817 0.06%
Celestia 1,268,767,106 0.06%
Core 1,198,689,123 0.05%
Aave 1,187,088,142 0.05%
Algorand 1,116,376,165 0.05%
"Pyth Network" 1,101,025,141 0.05%
Sei 1,076,183,976 0.05%
Jupiter 1,062,124,568 0.05%
Flare 1,042,502,539 0.05%
Fetch.ai 1,018,461,027 0.04%
Starknet 978,047,962 0.04%
Ethena 940,754,761 0.04%
"KuCoin Token" 928,577,173 0.04%
Quant 923,796,585 0.04%
Flow 915,998,783 0.04%
Beam 884,163,814 0.04%
Gala 872,901,932 0.04%
"Bitcoin SV" 860,544,595 0.04%
"Axie Infinity" 851,516,674 0.04%
"BitTorrent [New]" 831,860,021 0.04%
ORDI 806,822,932 0.04%
Pendle 797,327,848 0.03%
Gnosis 790,282,333 0.03%
"dYdX (Native)" 792,101,247 0.03%
zkSync 803,614,344 0.04%
MultiversX 782,412,871 0.03%
GateToken 772,610,391 0.03%
Ronin 769,734,352 0.03%
Neo 763,796,095 0.03%
USDD 731,697,705 0.03%
Chiliz 727,921,260 0.03%
"The Sandbox" 723,903,345 0.03%
"Ethereum Name Service" 717,349,610 0.03%
Tezos 712,138,626 0.03%
Nexo 713,919,268 0.03%
Wormhole 682,832,293 0.03%
Worldcoin 676,185,130 0.03%
"Akash Network" 669,635,221 0.03%
SingularityNET 653,963,827 0.03%
Oasis 653,763,096 0.03%
EOS 631,532,093 0.03%
